,headline,category,short_description,date,Subjectivity,Polarity,Content Subjectivity,Content Polarity
0,REI Workers At Berkeley Store Vote To Unionize In Another Win For Labor,BUSINESS,They follow in the footsteps of REI workers in New York City who formed a union earlier this year.,2022-08-25,0.4,0.8,0.4772727272727273,0.06818181818181818
1,Twitter Lawyer Calls Elon Musk 'Committed Enemy' As Judge Sets October Trial,BUSINESS,Delaware Chancery Judge Kathaleen McCormick dealt the world's richest person a setback in ordering a speedy trial on his abandoned deal to buy Twitter.,2022-07-20,0.0,0.0,0.0,0.0
2,"Starbucks Leaving Russian Market, Shutting 130 Stores",BUSINESS,Starbucks' move follows McDonald's exit from the Russian market last week.,2022-05-23,0.0,0.0,0.03333333333333333,0.0
3,Crypto Crash Leaves Trading Platform Coinbase Slumped,BUSINESS,Cryptocurrency trading platform Coinbase has lost half its value in the past week.,2022-05-12,0.0,0.0,0.20833333333333331,-0.20833333333333331
4,"US Added 428,000 Jobs In April Despite Surging Inflation",BUSINESS,"At 3.6%, unemployment nearly reached the lowest level in half a century.",2022-05-06,0.0,0.0,0.2833333333333333,-0.033333333333333326
5,"For The Starbucks Union Campaign, A Bruising Contract Fight Is Just Beginning",BUSINESS,Recent statements by CEO Howard Schultz offer a glimpse of some of the hardball tactics that might lay ahead.,2022-04-16,0.0,0.0,0.25,0.0
6,Elon Musk Offers To Buy 100% Of Twitter,BUSINESS,"“My offer is my best and final offer and if it is not accepted, I would need to reconsider my position as a shareholder,” Musk said in a filing.",2022-04-14,0.0,0.1,0.65,0.5
7,Alaska Airlines Cancels Dozens Of Flights As Pilots Picket,BUSINESS,"More than 100 Alaska Airlines flights were canceled by the airline, including 66 in Seattle, 20 in Portland, Oregon, 10 in Los Angeles and seven in San Francisco.",2022-04-01,0.0,0.0,0.5,0.5
8,Starbucks Workers In Seattle Vote To Form Union,BUSINESS,That makes seven Starbucks stores that have voted to unionize in a matter of months.,2022-03-23,0.0,0.0,0.0,0.0
9,3 More Starbucks Stores Vote To Unionize In Another Victory For Labor Campaign,BUSINESS,That makes six union Starbucks stores with more than a hundred others seeking elections.,2022-03-09,0.5,0.5,0.5,0.5
10,"Shell Says It Will Stop Buying Russian Oil, Natural Gas",BUSINESS,The decision comes as surging oil prices have been rattling global markets and after Ukraine’s foreign minister criticized Shell for continuing to buy Russian oil.,2022-03-08,0.2,0.05,0.041666666666666664,-0.041666666666666664
11,"U.S. Added 678,000 Jobs In February As Omicron Eases",BUSINESS,Unemployment fell to 3.8% as the economy continues its pandemic recovery.,2022-03-04,0.0,0.0,0.0,0.0
12,Another Starbucks Store Votes To Unionize,BUSINESS,The store in Arizona joins two in New York as the only corporate Starbucks stores with a union.,2022-02-25,0.0,0.0,0.48484848484848486,0.04545454545454545
13,Russian Military Action In Ukraine Causes Oil Prices To Soar,BUSINESS,Asian and European stock markets plunged and oil prices surged to nearly $100 a barrel Thursday after Russia attacked Ukraine.,2022-02-24,0.06666666666666667,0.0,0.13333333333333333,0.03333333333333333
14,"Stocks Climb Back After Steep Slide On Fed, Ukraine Jitters",BUSINESS,"Stocks notched modest gains after climbing back from a steep slide that had knocked more than 1,200 points off the Dow Jones Industrial Average.",2022-01-24,0.0,0.0,0.44999999999999996,0.11249999999999999
15,Holiday Sales Rise Despite Supply Issues And Omicron,BUSINESS,"After omicron hit, some consumers stayed home and shifted their spending to e-commerce -- but sales stayed strong.",2021-12-26,0.0,0.0,0.7333333333333333,0.4333333333333333
16,Low-Profile Ransomware Attacks Continue As High-Profile Cases Slow,BUSINESS,"Cyberattacks have interrupted schools, hospitals, government and an array of businesses across the country.",2021-12-18,0.39999999999999997,-0.30000000000000004,0.0,0.0
17,Stores Kick Off Black Friday But Pandemic Woes Linger,BUSINESS,Retailers are expected to usher in the unofficial start to the holiday shopping season Friday with bigger crowds than last year in a closer step toward normalcy.,2021-11-26,0.43333333333333335,-0.16666666666666666,0.32222222222222224,-0.03333333333333333
18,Why You Should Get Your Holiday Shopping Done ASAP,MONEY,"Supply chain issues are out of your control, but there are ways to make the process easier.",2021-10-21,0.0,0.0,0.0,0.0
19,Flight Attendants At American Airlines Subsidiary Threaten To Strike,BUSINESS,Workers at Piedmont Airlines say their wages are too low to live on. Now they might join other striking workers.,2021-10-21,0.0,0.0,0.54375,0.1278409090909091
20,Climate Poses Many Threats To U.S. Financial System & Natural Gas May Be Major Risk,BUSINESS,The federal entity created to guard against another Great Recession just issued its first landmark report on global warming.,2021-10-21,0.35,0.165625,0.3611111111111111,0.35000000000000003
21,Watch Consumer Reports Trick A Tesla Into Driving Without A Driver,BUSINESS,The problem was exposed after two men were killed in a Tesla that authorities said was driverless but CEO Elon Musk denied.,2021-04-24,0.0,0.0,0.0,-0.2
22,Investors Who Made Money Trading GameStop Have A Big Tax Bill In Store,MONEY,"Those who recently flipped shares of GameStop, AMC or other ""meme stocks"" for a profit will have to pay up in April of 2022.",2021-02-04,0.1,0.0,0.3125,-0.0625
23,GameStop Soars Again; Wall Street Bends Under The Pressure,BUSINESS,"The video game retailer shot up nearly 70%, clawing back much of its steep loss from the day before.",2021-01-30,0.0,0.0,0.25,-0.02500000000000001
24,The IRS Delayed Tax Season. Here's How To Get Your Refund On Time.,MONEY,Last-minute changes to tax laws in 2020 mean the IRS needs more time to prepare.,2021-01-22,0.0,0.0,0.59375,0.09375
25,Pivotal Union Election Moves Ahead At Amazon Warehouse In Alabama,BUSINESS,The workers will soon determine whether the retail giant has its first unionized facility in the U.S.,2021-01-15,0.8,0.5,0.6666666666666666,0.125
26,Coal Company Officials Plead Guilty After Hiding Black Lung Dangers,BUSINESS,So far three former officials with Armstrong Coal have acknowledged their part in a fraud made public by HuffPost.,2021-01-13,0.7166666666666667,-0.3333333333333333,0.35555555555555557,0.03333333333333333
